Umur (minggu),Perusahaan,Breeds,Konsumsi_(g/hari),Konsumsi_(g/minggu),Konsumsi/(BB^0.75)_(g/minggu),BB_(g/minggu),BB^0.75_(g/minggu),%_Ca,Konsumsi-Ca_(g/minggu),%_P-Ter.,Konsumsi_P-Tersedia_(g/minggu),%_P,Konsumsi_P_(g/minggu)
33,LTZ,LSL-Lite,115,805,126.17,1657,259.71,2,2.52,0.45,0.57,0.65,0.82
34,LTZ,LSL-Lite,115,805,126.15,1658,259.83,2,2.52,0.45,0.57,0.65,0.82
35,LTZ,LSL-Lite,105,735,115.15,1660,260.06,2,2.3,0.45,0.52,0.65,0.75
8,LTZ,LSL-Ultra-Lite,45,315,63.78,595,120.47,1,0.64,0.45,0.29,0.7,0.45
9,LTZ,LSL-Ultra-Lite,48,336,65.68,685,133.9,0.9,0.59,0.37,0.24,0.58,0.38
10,LTZ,LSL-Ultra-Lite,51,357,67.88,765,145.46,0.9,0.61,0.37,0.25,0.58,0.39
11,LTZ,LSL-Ultra-Lite,54,378,70.21,840,156.03,0.9,0.63,0.37,0.26,0.58,0.41
12,LTZ,LSL-Ultra-Lite,57,399,72.65,910,165.68,0.9,0.65,0.37,0.27,0.58,0.42
13,LTZ,LSL-Ultra-Lite,61,427,76.41,975,174.48,0.9,0.69,0.37,0.28,0.58,0.44
14,LTZ,LSL-Ultra-Lite,64,448,78.98,1035,182.48,0.9,0.71,0.37,0.29,0.58,0.46
15,LTZ,LSL-Ultra-Lite,67,469,81.62,1090,189.7,0.9,0.73,0.37,0.3,0.58,0.47
16,LTZ,LSL-Ultra-Lite,71,497,85.48,1143,196.58,0.9,0.77,0.37,0.32,0.58,0.5
17,LTZ,LSL-Ultra-Lite,75,525,89.14,1203,204.27,0.9,0.8,0.37,0.33,0.58,0.52
18,LTZ,LSL-Ultra-Lite,79,553,92.58,1273,213.12,2,1.85,0.45,0.42,0.65,0.6
19,LTZ,LSL-Ultra-Lite,83,581,96.06,1338,221.23,2,1.92,0.45,0.43,0.65,0.62
20,LTZ,LSL-Ultra-Lite,100,700,114.58,1393,228.01,2,2.29,0.45,0.52,0.65,0.74
21,LTZ,LSL-Ultra-Lite,106,742,120.49,1438,233.52,2,2.41,0.45,0.54,0.65,0.78
22,LTZ,LSL-Ultra-Lite,110,770,124.19,1478,238.37,2,2.48,0.45,0.56,0.65,0.81
23,LTZ,LSL-Ultra-Lite,113,791,126.83,1513,242.59,2,2.54,0.45,0.57,0.65,0.82
24,LTZ,LSL-Ultra-Lite,114,798,127.43,1538,245.59,2,2.55,0.45,0.57,0.65,0.83
25,LTZ,LSL-Ultra-Lite,114,798,127.02,1558,247.99,2,2.54,0.45,0.57,0.65,0.83
26,LTZ,LSL-Ultra-Lite,114,798,126.71,1573,249.77,2,2.53,0.45,0.57,0.65,4.55
27,LTZ,LSL-Ultra-Lite,114,798,126.51,1583,250.96,2,2.53,0.45,0.57,0.65,4.55
28,LTZ,LSL-Ultra-Lite,114,798,126.39,1589,251.68,2,2.53,0.45,0.57,0.65,4.55
29,LTZ,LSL-Ultra-Lite,114,798,126.35,1591,251.91,2,2.53,0.45,0.57,0.65,4.55
30,LTZ,LSL-Ultra-Lite,114,798,126.31,1593,252.15,2,2.53,0.45,0.57,0.65,4.55
31,LTZ,LSL-Ultra-Lite,115,805,127.38,1595,252.39,2,2.55,0.45,0.57,0.65,4.55
32,LTZ,LSL-Ultra-Lite,115,805,127.34,1597,252.63,2,2.55,0.45,0.57,0.65,4.55
33,LTZ,LSL-Ultra-Lite,115,805,127.26,1601,253.1,2,2.55,0.45,0.57,0.65,4.55
34,LTZ,LSL-Ultra-Lite,115,805,127.22,1603,253.34,2,2.54,0.45,0.57,0.65,4.55
35,LTZ,LSL-Ultra-Lite,105,735,116.14,1604,253.46,2,2.32,0.45,0.52,0.65,4.55
8,LTZ,LT,52,364,70.84,697,135.65,1,0.71,0.45,0.32,0.7,0.5
9,LTZ,LT,56,392,73.8,796,149.86,0.9,0.66,0.37,0.27,0.58,0.43
10,LTZ,LT,59,413,75.61,890,162.95,0.9,0.68,0.37,0.28,0.58,0.44
11,LTZ,LT,61,427,76.36,978,174.89,0.9,0.69,0.37,0.28,0.58,0.44
12,LTZ,LT,64,448,78.48,1062,186.03,0.9,0.71,0.37,0.29,0.58,0.46
13,LTZ,LT,66,462,79.46,1143,196.58,0.9,0.72,0.37,0.29,0.58,0.46
14,LTZ,LT,68,476,80.56,1219,206.3,0.9,0.73,0.37,0.3,0.58,0.47
15,LTZ,LT,69,483,80.64,1287,214.87,0.9,0.73,0.37,0.3,0.58,0.47
16,LTZ,LT,72,504,83.09,1354,223.21,0.9,0.75,0.37,0.31,0.58,0.48
17,LTZ,LT,74,518,84.29,1426,232.05,2,1.69,0.45,0.38,0.65,0.55
18,LTZ,LT,77,539,86.58,1502,241.27,2,1.73,0.45,0.39,0.65,0.56
19,LTZ,LT,83,581,92.11,1583,250.96,2,1.84,0.45,0.41,0.65,0.6
20,LTZ,LT,96,672,105.12,1670,261.24,2,2.1,0.45,0.47,0.65,0.68
21,LTZ,LT,100,700,108.35,1742,269.64,2,2.17,0.45,0.49,0.65,0.7
22,LTZ,LT,106,742,113.56,1823,278.99,2,2.27,0.45,0.51,0.65,0.74
23,LTZ,LT,110,770,117.12,1868,284.14,2,2.34,0.45,0.53,0.65,0.76
24,LTZ,LT,113,791,119.71,1906,288.46,2,2.39,0.45,0.54,0.65,0.78
25,LTZ,LT,114,798,120.52,1922,290.28,2,2.41,0.45,0.54,0.65,0.78
26,LTZ,LT,114,798,120.32,1935,291.75,2,2.41,0.45,0.54,0.65,0.78
27,LTZ,LT,114,798,120.24,1940,292.32,2,2.4,0.45,0.54,0.65,0.78
28,LTZ,LT,114,798,121.74,1846,281.63,2,2.43,0.45,0.55,0.65,0.79
29,LTZ,LT,114,798,120.07,1951,293.56,2,2.4,0.45,0.54,0.65,0.78
30,LTZ,LT,114,798,120.01,1955,294.01,2,2.4,0.45,0.54,0.65,0.78
31,LTZ,LT,114,798,119.96,1958,294.35,2,2.4,0.45,0.54,0.65,0.78
32,LTZ,LT,115,805,120.97,1961,294.69,2,2.42,0.45,0.54,0.65,0.79
33,LTZ,LT,115,805,120.92,1964,295.02,2,2.42,0.45,0.54,0.65,0.79
34,LTZ,LT,115,805,120.88,1967,295.36,2,2.42,0.45,0.54,0.65,0.79
35,LTZ,LT,115,805,120.83,1970,295.7,2,2.42,0.45,0.54,0.65,0.79
