year,category,livestock,Pacitan,Ponorogo,Trenggalek,Tulungagung,Blitar,Kediri,Malang,Lumajang,Jember,Banyuwangi,Bondowoso,Situbondo,Probolinggo,Pasuruan,Sidoarjo,Mojokerto,Jombang,Nganjuk,Madiun,Magetan,Ngawi,Bojonegoro,Tuban,Lamongan,Gresik,Bangkalan,Sampang,Pamekasan,Sumenep,Kotakediri,Kotablitar,Kotamalang,Kotaprobolinggo,Kotapasuruan,Kotamojokerto,Kotamadiun,Surabaya,Batu
2012,large_ruminant,beef_cattle,94735,84315,43411,129549,200008,287943,240746,210039,350170,163850,212621,214900,296867,114579,10078,99965,115852,166215,68831,114630,110850,201992,314810,116963,58268,205157,196807,142445,360862,6251,3549,4433,10473,596,355,385,740,3237
2013,monogastric_poultry,chicken_local,874132,735267,824081,3755031,2557800,1263374,2141663,1002784,1634625,1574273,508684,439043,476683,1176583,355107,745532,1574798,1220487,1116528,702310,633471,1501859,1005860,1908731,647762,955309,463854,777962,771569,78950,53870,54076,73289,45248,14860,61076,34097,46335
2013,monogastric_poultry,chicken_broiler,84418,801581,820090,821688,1295750,3439782,4135418,2800731,2810327,985142,455273,107968,318297,3104476,95202,453717,8804038,920128,305421,1285350,255065,1087140,2241449,13122238,838779,17261,20856,196436,179821,6186,43171,170752,4833,0,6379,0,242275,11163
2013,monogastric_poultry,chicken_layer,4828,187253,180635,3732846,16330600,8468447,2920857,506612,799740,670547,155258,35762,92119,1201781,25035,322235,1591614,845920,202000,2889497,121600,21340,101405,213620,134700,21217,28605,312840,310077,8000,305380,152000,10671,320,0,0,0,161000
2013,monogastric_poultry,duck,16375,46425,92174,419477,726090,183794,226149,302128,175752,279327,62017,59669,65572,98576,213237,260750,181913,101068,37500,27579,39084,98145,65777,169886,28120,48306,13925,48559,55537,4750,8150,14795,7171,16194,900,3590,4602,10316
2013,monogastric_poultry,muscovy_duck,0,30026,52143,78929,79780,57888,92412,0,0,26988,13212,9473,9355,20093,1362,58086,64239,54218,18200,7955,12327,40205,80593,31069,13385,35898,13450,20863,12118,1250,2630,632,1603,720,460,527,1264,2970
2013,monogastric,swine,0,196,15,10058,6574,3024,12028,2132,572,530,0,0,0,0,0,880,0,1818,390,6285,902,0,260,0,0,0,0,0,0,0,348,0,0,0,78,0,0,0
2013,small_ruminant,sheep,22799,16120,20540,4504,6680,42131,30392,35755,71782,47222,32782,60953,65405,60736,33029,29029,63463,57659,20734,29689,39499,129990,75042,66009,30396,3901,9123,21584,37838,1045,580,345,7954,542,1010,949,710,7551
2013,small_ruminant,goat,122115,166398,233965,177087,100326,133280,225374,91038,48962,67149,38991,49280,48812,66724,32375,164466,135131,119556,67500,39418,82188,105013,105639,96185,65270,70405,45663,62762,146835,1852,4573,1052,7180,2116,1892,2751,3097,5560
2013,large_ruminant,buffalo,107,301,228,319,2306,382,1394,4667,324,3383,0,237,72,234,606,400,319,473,381,308,1570,1026,1840,237,198,1460,0,0,5027,105,0,150,0,1,8,9,31,15
2013,pseudo_ruminant,horse,61,120,103,30,130,293,614,942,324,773,919,195,609,993,109,0,14,28,178,165,82,123,347,67,236,633,107,68,2126,12,13,58,8,35,10,4,0,52
2013,large_ruminant,dairy_cattle,119,1882,4347,21732,13692,8558,72217,4080,1298,1123,17,102,7399,78519,3261,1685,3657,68,163,180,65,19,1794,21,433,24,0,17,0,200,282,269,207,26,8,32,517,9660
2013,large_ruminant,beef_cattle,76546,84751,29906,91789,132934,181727,189145,164892,217763,91384,188740,159308,239564,92174,9458,65843,68926,134255,46500,96185,90692,160037,311359,96714,44270,186027,180849,149855,345095,3510,2689,4241,8519,334,162,299,218,2437
2014,monogastric_poultry,chicken_local,882907,716240,853450,3824870,2583400,1281061,2201166,1012812,1665091,1247721,502347,433029,541676,1217881,356412,713809,1626171,1220510,1473808,684104,598744,1520106,1243668,1946293,663830,970196,464086,811766,773734,124400,55650,54137,75690,44085,12040,63519,28213,50501
2014,monogastric_poultry,chicken_broiler,658048,2647550,1864000,2713815,4222400,8111697,17557738,9441365,7689080,3552750,2485250,408568,1934316,10695230,403240,1116058,22772500,2373684,1414830,9327200,1039168,3625680,9351072,44915846,6532000,736000,66777,970200,564825,42000,133600,180000,35250,74000,0,10800,1145,163000
2014,monogastric_poultry,chicken_layer,12554,188053,135050,3700730,14679500,8536195,3005562,509144,817846,658970,184247,37250,298350,1299179,24820,254885,1570290,700950,191855,2154166,145750,21700,155918,226928,140000,100963,31780,411500,313472,8000,311800,152300,10532,1433,0,1200,1720,162250
2014,monogastric_poultry,duck,17455,69051,165200,474815,798699,185907,400472,303641,180006,399601,64263,55082,98236,101731,211397,300318,193880,129705,38342,27716,64902,108392,70587,172624,27920,54045,14048,47957,55738,4180,7560,15466,4732,14870,2600,5186,3518,22551
2014,monogastric_poultry,muscovy_duck,0,28965,53372,79661,79780,58448,400287,0,0,19053,11489,8741,8029,20093,3378,47466,67330,35630,18312,7995,11508,43180,81189,50943,29478,37700,13465,21230,12217,1438,2940,645,1653,743,465,877,517,3208
2014,monogastric,swine,0,196,5,10567,2905,2945,12241,2203,537,787,0,0,0,0,0,0,0,1101,383,6330,944,0,300,0,0,0,0,0,0,0,355,0,0,0,76,0,0,0
2014,small_ruminant,sheep,28506,17481,9746,4637,7281,42679,31496,36721,72859,60903,32912,62537,68679,62185,30365,20325,62961,59605,21232,29838,39576,138637,77288,79472,30898,3002,9024,21369,38083,1242,659,363,8250,475,728,963,187,8594
2014,small_ruminant,goat,132395,163704,340635,181029,136967,135280,235121,93585,49514,79627,37717,49977,50139,69597,31520,116736,135793,120571,64271,37918,78543,110461,115623,99852,66357,70990,45539,63150,147735,2465,4471,1071,7435,2302,1018,2806,2299,5946
2014,large_ruminant,buffalo,113,275,229,341,2175,383,1266,4694,327,4035,0,199,44,235,598,478,313,513,384,331,1389,1020,1875,335,198,1400,0,0,5039,113,0,145,0,1,6,9,27,17
2014,pseudo_ruminant,horse,76,114,17,27,118,294,626,944,332,549,987,227,659,922,105,134,14,34,172,162,70,178,347,67,209,621,137,62,2137,14,6,57,11,39,8,4,4,52
2014,large_ruminant,dairy_cattle,117,1634,4566,23663,14102,9029,75683,4243,1378,807,26,213,6172,80518,3029,2026,4033,27,173,191,60,33,443,21,443,20,0,10,0,216,293,261,212,22,0,24,498,11060
2014,large_ruminant,beef_cattle,81954,84514,31431,98987,135592,192631,199453,172920,236198,108139,205321,169978,244718,100841,9356,50801,69821,134566,56838,106913,81373,172673,314937,99013,47254,191245,203863,152045,349081,3600,2797,4039,8863,305,154,303,116,2700
