Umur (minggu),Perusahaan,Breeds,Konsumsi_(g/hari),Konsumsi_(g/minggu),Konsumsi/(BB^0.75)_(g/minggu),BB_(g/minggu),BB^0.75_(g/minggu),%_Ca,Konsumsi-Ca_(g/minggu),%_P-Ter.,Konsumsi_P-Tersedia_(g/minggu),%_P,Konsumsi_P_(g/minggu)
10,HG,BB,58,406,73.94,909.00,165.55,0.95,0.70,0.36,0.27,0.58,0.43
11,HG,BB,61,427,75.76,"1,009.00",179.03,0.95,0.72,0.36,0.27,0.58,0.44
12,HG,BB,64,469,81.32,"1,106.50",191.85,0.95,0.77,0.36,0.29,0.58,0.47
13,HG,BB,67,490,81.81,"1,199.00",214.87,0.95,0.78,0.36,0.29,0.58,0.47
14,HG,BB,70,511,84.00,"1,287.00",225.12,0.95,0.80,0.36,0.30,0.58,0.49
15,HG,BB,73,532,86.29,"1,369.50",234.37,0.95,0.82,0.36,0.31,0.58,0.50
16,HG,BB,76,567,90.90,"1,445.00",242.71,0.95,0.86,0.36,0.33,0.58,0.53
17,HG,BB,81,609,96.66,"1,514.00",250.13,2.05,1.98,0.42,0.41,0.65,0.63
18,HG,BB,87,609,96.66,"1,576.00",250.13,2.05,1.98,0.42,0.41,0.65,0.63
19,HG,BB,93,651,102.46,"1,630.00",256.53,2.05,2.10,0.42,0.43,0.65,0.67
20,HG,BB,100,742,115.97,"1,676.00",261.94,2.05,2.38,0.42,0.49,0.65,0.75
21,HG,BB,106,742,115.34,"1,713.00",266.27,2.05,2.36,0.42,0.48,0.65,0.75
22,HG,BB,110,770,119.05,"1,750.00",270.57,2.05,2.44,0.42,0.50,0.65,0.77
23,HG,BB,113,791,122.00,"1,767.00",272.54,2.05,2.50,0.42,0.51,0.65,0.79
24,HG,BB,114,798,122.82,"1,782.00",274.27,2.05,2.52,0.42,0.52,0.65,0.80
25,HG,BB,114,798,122.58,"1,796.00",275.89,2.05,2.51,0.42,0.51,0.65,0.80
26,HG,BB,114,798,122.36,"1,809.00",277.38,2.05,2.51,0.42,0.51,0.65,0.80
27,HG,BB,114,798,122.16,"1,821.00",278.76,2.05,2.50,0.42,0.51,0.65,0.79
28,HG,BB,114,798,121.99,"1,831.00",279.91,2.05,2.50,0.42,0.51,0.65,0.79
29,HG,BB,114,798,121.83,"1,841.00",281.05,2.05,2.50,0.42,0.51,0.65,0.79
30,HG,BB,114,798,121.68,"1,850.00",282.08,2.05,2.49,0.42,0.51,0.65,0.79
31,HG,BB,115,805,122.61,"1,858.00",283.00,2.05,2.51,0.42,0.51,0.65,0.80
32,HG,BB,115,805,122.48,"1,866.00",283.91,2.05,2.51,0.42,0.51,0.65,0.80
33,HG,BB,115,805,122.37,"1,873.00",284.71,2.05,2.51,0.42,0.51,0.65,0.80
34,HG,BB,115,805,122.27,"1,879.00",285.39,2.05,2.51,0.42,0.51,0.65,0.79
35,HG,BB,115,805,122.17,"1,885.00",286.08,2.05,2.50,0.42,0.51,0.65,0.79
8,HG,BBL,50,350,66.38,773.00,146.60,1.00,0.66,0.42,0.28,0.70,0.46
9,HG,BBL,54,378,69.26,887.00,162.53,0.95,0.66,0.36,0.25,0.58,0.40
10,HG,BBL,58,406,72.20,"1,000.00",177.83,0.95,0.69,0.36,0.26,0.58,0.42
11,HG,BBL,61,427,73.97,"1,110.50",192.37,0.95,0.70,0.36,0.27,0.58,0.43
12,HG,BBL,64,448,75.84,"1,217.50",206.11,0.95,0.72,0.36,0.27,0.58,0.44
13,HG,BBL,67,469,76.45,"1,320.00",230.89,0.95,0.73,0.36,0.28,0.58,0.44
14,HG,BBL,70,490,78.65,"1,416.50",241.81,0.95,0.75,0.36,0.28,0.58,0.46
15,HG,BBL,73,511,80.92,"1,506.50",251.85,0.95,0.77,0.36,0.29,0.58,0.47
16,HG,BBL,76,532,83.26,"1,590.50",260.83,0.95,0.79,0.36,0.30,0.58,0.48
17,HG,BBL,79,553,85.70,"1,666.50",268.71,2.05,1.76,0.42,0.36,0.65,0.56
18,HG,BBL,85,595,92.21,"1,734.00",268.71,2.05,1.89,0.42,0.39,0.65,0.60
19,HG,BBL,94,658,101.10,"1,794.00",275.66,2.05,2.07,0.42,0.42,0.65,0.66
20,HG,BBL,104,777,118.56,"1,845.00",281.51,2.05,2.43,0.42,0.50,0.65,0.77
21,HG,BBL,111,777,117.89,"1,887.00",286.30,2.05,2.42,0.42,0.50,0.65,0.77
22,HG,BBL,114,798,120.54,"1,921.00",290.17,2.05,2.47,0.42,0.51,0.65,0.78
23,HG,BBL,115,805,121.20,"1,946.00",292.99,2.05,2.48,0.42,0.51,0.65,0.79
24,HG,BBL,116,812,121.99,"1,963.00",294.91,2.05,2.50,0.42,0.51,0.65,0.79
25,HG,BBL,116,812,121.77,"1,977.00",296.49,2.05,2.50,0.42,0.51,0.65,0.79
26,HG,BBL,117,819,122.61,"1,991.00",298.06,2.05,2.51,0.42,0.51,0.65,0.80
