Umur (minggu),Perusahaan,Breeds,Konsumsi_(g/hari),Konsumsi_(g/minggu),Konsumsi/(BB^0.75)_(g/minggu),BB_(g/minggu),BB^0.75_(g/minggu),%_Ca,Konsumsi-Ca_(g/minggu),%_P-Ter.,Konsumsi_P-Tersedia_(g/minggu),%_P,Konsumsi_P_(g/minggu)
11,HG,IB,61,427,75.76,"1,009.00",179.03,0.95,0.72,0.36,0.27,0.58,0.44
12,HG,IB,64,448,77.68,"1,106.50",191.85,0.95,0.74,0.36,0.28,0.58,0.45
13,HG,IB,67,469,79.70,"1,199.00",203.76,0.95,0.76,0.36,0.29,0.58,0.46
14,HG,IB,70,490,81.81,"1,287.00",214.87,0.95,0.78,0.36,0.29,0.58,0.47
15,HG,IB,73,511,84.00,"1,369.50",225.12,0.95,0.80,0.36,0.30,0.58,0.49
16,HG,IB,76,532,86.29,"1,445.00",234.37,0.95,0.82,0.36,0.31,0.58,0.50
17,HG,IB,79,553,88.65,"1,514.00",242.71,2.05,1.82,0.42,0.37,0.65,0.58
18,HG,IB,84,588,93.32,"1,576.00",250.13,2.05,1.91,0.42,0.39,0.65,0.61
19,HG,IB,89,623,98.05,"1,630.00",256.53,2.05,2.01,0.42,0.41,0.65,0.64
20,HG,IB,97,728,114.57,"1,630.00",256.53,2.05,2.35,0.42,0.48,0.65,0.74
21,HG,IB,104,728,113.78,"1,676.00",261.94,2.05,2.33,0.42,0.48,0.65,0.74
22,HG,IB,110,770,119.69,"1,713.00",266.27,2.05,2.45,0.42,0.50,0.65,0.78
23,HG,IB,112,784,121.22,"1,750.00",270.57,2.05,2.48,0.42,0.51,0.65,0.79
24,HG,IB,112,784,120.92,"1,767.00",272.54,2.05,2.48,0.42,0.51,0.65,0.79
25,HG,IB,112,784,120.67,"1,782.00",274.27,2.05,2.47,0.42,0.51,0.65,0.78
26,HG,IB,112,784,120.43,"1,796.00",275.89,2.05,2.47,0.42,0.51,0.65,0.78
27,HG,IB,112,784,120.21,"1,809.00",277.38,2.05,2.46,0.42,0.50,0.65,0.78
28,HG,IB,112,784,120.02,"1,821.00",278.76,2.05,2.46,0.42,0.50,0.65,0.78
29,HG,IB,112,784,119.85,"1,831.00",279.91,2.05,2.46,0.42,0.50,0.65,0.78
30,HG,IB,112,784,119.69,"1,841.00",281.05,2.05,2.45,0.42,0.50,0.65,0.78
31,HG,IB,112,784,119.54,"1,850.00",282.08,2.05,2.45,0.42,0.50,0.65,0.78
32,HG,IB,112,784,119.41,"1,858.00",283.00,2.05,2.45,0.42,0.50,0.65,0.78
33,HG,IB,112,784,119.29,"1,866.00",283.91,2.05,2.45,0.42,0.50,0.65,0.78
34,HG,IB,112,784,119.17,"1,873.00",284.71,2.05,2.44,0.42,0.50,0.65,0.77
35,HG,IB,112,784,119.09,"1,878.00",285.28,2.05,2.44,0.42,0.50,0.65,0.77
8,HG,IW,49,343,69.25,602.00,121.53,1.00,0.69,0.42,0.29,0.70,0.48
9,HG,IW,53,371,72.49,686.00,134.04,0.95,0.69,0.36,0.26,0.58,0.42
10,HG,IW,56,392,74.42,770.00,146.17,0.95,0.71,0.36,0.27,0.58,0.43
11,HG,IW,59,413,76.41,853.50,157.91,0.95,0.73,0.36,0.28,0.58,0.44
12,HG,IW,62,434,78.45,936.50,169.29,0.95,0.75,0.36,0.28,0.58,0.46
13,HG,IW,65,455,80.58,"1,016.50",180.02,0.95,0.77,0.36,0.29,0.58,0.47
14,HG,IW,68,476,82.76,"1,094.50",190.29,0.95,0.79,0.36,0.30,0.58,0.48
15,HG,IW,71,497,85.00,"1,169.00",199.92,0.95,0.81,0.36,0.31,0.58,0.49
16,HG,IW,74,518,87.29,"1,240.00",208.96,0.95,0.83,0.36,0.31,0.58,0.51
17,HG,IW,78,546,90.82,"1,306.50",217.31,2.05,1.86,0.42,0.38,0.65,0.59
18,HG,IW,85,595,97.84,"1,367.50",224.88,2.05,2.01,0.42,0.41,0.65,0.64
19,HG,IW,93,651,105.99,"1,423.00",231.69,2.05,2.17,0.42,0.45,0.65,0.69
20,HG,IW,99,728,117.53,"1,472.00",237.65,2.05,2.41,0.42,0.49,0.65,0.76
21,HG,IW,104,728,116.71,"1,514.00",242.71,2.05,2.39,0.42,0.49,0.65,0.76
22,HG,IW,108,756,120.53,"1,548.00",246.79,2.05,2.47,0.42,0.51,0.65,0.78
23,HG,IW,110,770,122.36,"1,568.00",249.18,2.05,2.51,0.42,0.51,0.65,0.80
24,HG,IW,110,770,122.00,"1,587.00",251.44,2.05,2.50,0.42,0.51,0.65,0.79
25,HG,IW,111,777,122.85,"1,600.00",252.98,2.05,2.52,0.42,0.52,0.65,0.80
26,HG,IW,111,777,122.63,"1,612.00",254.40,2.05,2.51,0.42,0.52,0.65,0.80
27,HG,IW,111,777,122.42,"1,623.00",255.70,2.05,2.51,0.42,0.51,0.65,0.80
28,HG,IW,112,784,123.33,"1,633.00",256.89,2.05,2.53,0.42,0.52,0.65,0.80
29,HG,IW,112,784,123.14,"1,643.00",258.06,2.05,2.52,0.42,0.52,0.65,0.80
30,HG,IW,112,784,122.97,"1,652.00",259.12,2.05,2.52,0.42,0.52,0.65,0.80
31,HG,IW,113,791,123.90,"1,661.00",260.18,2.05,2.54,0.42,0.52,0.65,0.81
32,HG,IW,113,791,123.75,"1,669.00",261.12,2.05,2.54,0.42,0.52,0.65,0.80
33,HG,IW,113,791,123.63,"1,676.00",261.94,2.05,2.53,0.42,0.52,0.65,0.80
34,HG,IW,113,791,123.50,"1,683.00",262.76,2.05,2.53,0.42,0.52,0.65,0.80
35,HG,IW,113,791,123.39,"1,689.00",263.46,2.05,2.53,0.42,0.52,0.65,0.80
8,HG,SB,50,350,68.39,686.00,134.04,1.00,0.68,0.42,0.29,0.70,0.48
9,HG,SB,54,378,71.37,787.00,148.59,0.95,0.68,0.36,0.26,0.58,0.41
10,HG,SB,58,406,74.40,887.00,162.53,0.95,0.71,0.36,0.27,0.58,0.43
11,HG,SB,61,427,76.23,984.50,175.76,0.95,0.72,0.36,0.27,0.58,0.44
12,HG,SB,64,448,78.17,"1,079.00",188.26,0.95,0.74,0.36,0.28,0.58,0.45
13,HG,SB,67,469,80.21,"1,169.00",199.92,0.95,0.76,0.36,0.29,0.58,0.47
14,HG,SB,70,490,82.33,"1,254.50",210.79,0.95,0.78,0.36,0.30,0.58,0.48
15,HG,SB,73,511,84.55,"1,334.50",220.79,0.95,0.80,0.36,0.30,0.58,0.49
16,HG,SB,76,532,86.85,"1,408.00",229.85,0.95,0.83,0.36,0.31,0.58,0.50
17,HG,SB,79,553,89.23,"1,475.00",238.01,2.05,1.83,0.42,0.37,0.65,0.58
18,HG,SB,84,588,93.92,"1,536.50",245.41,2.05,1.93,0.42,0.39,0.65,0.61
19,HG,SB,89,623,99.52,"1,536.00",245.35,2.05,2.04,0.42,0.42,0.65,0.65
20,HG,SB,96,714,113.07,"1,590.00",251.80,2.05,2.32,0.42,0.47,0.65,0.73
21,HG,SB,102,714,112.23,"1,638.00",257.48,2.05,2.30,0.42,0.47,0.65,0.73
22,HG,SB,108,756,118.28,"1,669.00",261.12,2.05,2.42,0.42,0.50,0.65,0.77
23,HG,SB,111,777,121.01,"1,700.00",264.75,2.05,2.48,0.42,0.51,0.65,0.79
24,HG,SB,111,777,120.69,"1,718.00",266.85,2.05,2.47,0.42,0.51,0.65,0.78
25,HG,SB,111,777,120.41,"1,734.00",268.71,2.05,2.47,0.42,0.51,0.65,0.78
26,HG,SB,111,777,120.17,"1,748.00",270.34,2.05,2.46,0.42,0.50,0.65,0.78
27,HG,SB,111,777,119.93,"1,762.00",271.96,2.05,2.46,0.42,0.50,0.65,0.78
28,HG,SB,111,777,119.72,"1,774.00",273.35,2.05,2.45,0.42,0.50,0.65,0.78
29,HG,SB,111,777,119.54,"1,785.00",274.62,2.05,2.45,0.42,0.50,0.65,0.78
30,HG,SB,111,777,119.37,"1,795.00",275.77,2.05,2.45,0.42,0.50,0.65,0.78
31,HG,SB,111,777,119.22,"1,804.00",276.81,2.05,2.44,0.42,0.50,0.65,0.77
32,HG,SB,111,777,119.08,"1,813.00",277.84,2.05,2.44,0.42,0.50,0.65,0.77
33,HG,SB,111,777,118.96,"1,820.00",278.65,2.05,2.44,0.42,0.50,0.65,0.77
34,HG,SB,111,777,118.85,"1,827.00",279.45,2.05,2.44,0.42,0.50,0.65,0.77
35,HG,SB,111,777,118.73,"1,834.00",280.25,2.05,2.43,0.42,0.50,0.65,0.77
8,HG,SBL,50,350,66.38,773.00,146.60,1.00,0.66,0.42,0.28,0.70,0.46
9,HG,SBL,54,378,69.26,887.00,162.53,0.95,0.66,0.36,0.25,0.58,0.40
10,HG,SBL,58,406,72.20,"1,000.00",177.83,0.95,0.69,0.36,0.26,0.58,0.42
11,HG,SBL,61,427,73.97,"1,110.50",192.37,0.95,0.70,0.36,0.27,0.58,0.43
12,HG,SBL,64,448,75.84,"1,217.50",206.11,0.95,0.72,0.36,0.27,0.58,0.44
13,HG,SBL,67,469,77.81,"1,320.00",218.99,0.95,0.74,0.36,0.28,0.58,0.45
14,HG,SBL,70,490,79.87,"1,416.50",230.89,0.95,0.76,0.36,0.29,0.58,0.46
15,HG,SBL,73,511,82.02,"1,506.50",241.81,0.95,0.78,0.36,0.30,0.58,0.48
16,HG,SBL,76,532,84.24,"1,590.50",251.85,0.95,0.80,0.36,0.30,0.58,0.49
17,HG,SBL,79,553,86.55,"1,666.50",260.83,2.05,1.77,0.42,0.36,0.65,0.56
18,HG,SBL,85,595,92.21,"1,734.00",268.71,2.05,1.89,0.42,0.39,0.65,0.60
19,HG,SBL,94,658,101.10,"1,794.00",275.66,2.05,2.07,0.42,0.42,0.65,0.66
20,HG,SBL,104,777,118.56,"1,845.00",281.51,2.05,2.43,0.42,0.50,0.65,0.77
21,HG,SBL,111,777,117.89,"1,887.00",286.30,2.05,2.42,0.42,0.50,0.65,0.77
22,HG,SBL,112,784,118.42,"1,921.00",290.17,2.05,2.43,0.42,0.50,0.65,0.77
23,HG,SBL,113,791,119.09,"1,946.00",292.99,2.05,2.44,0.42,0.50,0.65,0.77
24,HG,SBL,114,798,119.89,"1,963.00",294.91,2.05,2.46,0.42,0.50,0.65,0.78
25,HG,SBL,115,805,120.72,"1,977.00",296.49,2.05,2.47,0.42,0.51,0.65,0.78
26,HG,SBL,115,805,120.51,"1,991.00",298.06,2.05,2.47,0.42,0.51,0.65,0.78
27,HG,SBL,116,812,121.36,"2,004.00",299.52,2.05,2.49,0.42,0.51,0.65,0.79
28,HG,SBL,116,812,121.20,"2,015.00",300.75,2.05,2.48,0.42,0.51,0.65,0.79
29,HG,SBL,117,819,122.07,"2,026.00",301.98,2.05,2.50,0.42,0.51,0.65,0.79
30,HG,SBL,117,819,121.92,"2,036.00",303.10,2.05,2.50,0.42,0.51,0.65,0.79
31,HG,SBL,118,826,122.83,"2,045.00",304.10,2.05,2.52,0.42,0.52,0.65,0.80
32,HG,SBL,118,826,122.71,"2,053.00",304.99,2.05,2.52,0.42,0.52,0.65,0.80
33,HG,SBL,118,826,122.59,"2,061.00",305.89,2.05,2.51,0.42,0.51,0.65,0.80
34,HG,SBL,119,833,123.53,"2,068.00",306.66,2.05,2.53,0.42,0.52,0.65,0.80
35,HG,SBL,119,833,123.44,"2,074.00",307.33,2.05,2.53,0.42,0.52,0.65,0.80
8,HG,SW,42,294,59.77,585.50,119.03,1.00,0.60,0.42,0.25,0.70,0.42
9,HG,SW,46,322,63.35,667.50,131.32,0.95,0.60,0.36,0.23,0.58,0.37
10,HG,SW,49,343,65.55,749.50,143.24,0.95,0.62,0.36,0.24,0.58,0.38
11,HG,SW,52,364,67.80,831.00,154.77,0.95,0.64,0.36,0.24,0.58,0.39
12,HG,SW,55,385,70.08,911.00,165.82,0.95,0.67,0.36,0.25,0.58,0.41
13,HG,SW,58,406,72.40,989.00,176.36,0.95,0.69,0.36,0.26,0.58,0.42
14,HG,SW,60,420,73.53,"1,064.50",186.36,0.95,0.70,0.36,0.26,0.58,0.43
15,HG,SW,63,441,75.94,"1,137.50",195.87,0.95,0.72,0.36,0.27,0.58,0.44
16,HG,SW,66,462,78.40,"1,206.00",204.65,0.95,0.74,0.36,0.28,0.58,0.45
17,HG,SW,69,483,80.91,"1,270.00",212.74,2.05,1.66,0.42,0.34,0.65,0.53
18,HG,SW,74,518,85.79,"1,329.00",220.11,2.05,1.76,0.42,0.36,0.65,0.56
19,HG,SW,80,560,91.83,"1,383.00",226.79,2.05,1.88,0.42,0.39,0.65,0.60
20,HG,SW,86,644,104.73,"1,430.00",232.54,2.05,2.15,0.42,0.44,0.65,0.68
21,HG,SW,92,644,103.99,"1,471.00",237.53,2.05,2.13,0.42,0.44,0.65,0.68
22,HG,SW,97,679,109.01,"1,505.00",241.63,2.05,2.23,0.42,0.46,0.65,0.71
23,HG,SW,101,707,113.14,"1,525.00",244.04,2.05,2.32,0.42,0.48,0.65,0.74
24,HG,SW,102,714,113.96,"1,541.00",245.95,2.05,2.34,0.42,0.48,0.65,0.74
25,HG,SW,102,714,113.70,"1,555.00",247.63,2.05,2.33,0.42,0.48,0.65,0.74
26,HG,SW,103,721,114.58,"1,568.00",249.18,2.05,2.35,0.42,0.48,0.65,0.74
27,HG,SW,103,721,114.36,"1,580.00",250.61,2.05,2.34,0.42,0.48,0.65,0.74
28,HG,SW,103,721,114.14,"1,592.00",252.03,2.05,2.34,0.42,0.48,0.65,0.74
29,HG,SW,104,728,115.07,"1,602.00",253.22,2.05,2.36,0.42,0.48,0.65,0.75
30,HG,SW,104,728,114.91,"1,611.00",254.29,2.05,2.36,0.42,0.48,0.65,0.75
31,HG,SW,104,728,114.64,"1,626.00",256.06,2.05,2.35,0.42,0.48,0.65,0.75
32,HG,SW,104,728,114.52,"1,633.00",256.89,2.05,2.35,0.42,0.48,0.65,0.74
33,HG,SW,105,735,115.52,"1,639.00",257.59,2.05,2.37,0.42,0.49,0.65,0.75
34,HG,SW,105,735,115.43,"1,644.00",258.18,2.05,2.37,0.42,0.48,0.65,0.75
35,HG,SW,105,735,115.43,"1,644.00",258.18,2.05,2.37,0.42,0.48,0.65,0.75
8,LTZ,LB-Classic,51,357,69.78,685,133.90,1.00,0.70,0.45,0.31,0.70,0.49
9,LTZ,LB-Classic,55,385,72.80,782,147.88,0.90,0.66,0.37,0.27,0.58,0.42
10,LTZ,LB-Classic,58,406,74.67,874,160.74,0.90,0.67,0.37,0.28,0.58,0.43
11,LTZ,LB-Classic,60,420,75.43,961,172.60,0.90,0.68,0.37,0.28,0.58,0.44
12,LTZ,LB-Classic,64,448,78.83,1043,183.53,0.90,0.71,0.37,0.29,0.58,0.46
13,LTZ,LB-Classic,65,455,78.60,1123,193.99,0.90,0.71,0.37,0.29,0.58,0.46
14,LTZ,LB-Classic,68,476,80.93,1197,203.50,0.90,0.73,0.37,0.30,0.58,0.47
15,LTZ,LB-Classic,70,490,82.18,1264,211.99,0.90,0.74,0.37,0.30,0.58,0.48
16,LTZ,LB-Classic,71,497,82.30,1330,220.24,0.90,0.74,0.37,0.30,0.58,0.48
17,LTZ,LB-Classic,72,504,82.39,1400,228.87,2.00,1.65,0.45,0.37,0.65,0.54
18,LTZ,LB-Classic,75,525,84.72,1475,238.01,2.00,1.69,0.45,0.38,0.65,0.55
19,LTZ,LB-Classic,81,567,90.29,1555,247.63,2.00,1.81,0.45,0.41,0.65,0.59
20,LTZ,LB-Classic,93,700,110.00,1640,257.71,2.00,2.20,0.45,0.49,0.65,0.71
21,LTZ,LB-Classic,100,700,108.84,1711,266.03,2.00,2.18,0.45,0.49,0.65,0.71
22,LTZ,LB-Classic,106,742,114.08,1790,275.19,2.00,2.28,0.45,0.51,0.65,0.74
23,LTZ,LB-Classic,110,770,117.73,1830,279.79,2.00,2.35,0.45,0.53,0.65,0.77
24,LTZ,LB-Classic,113,791,120.29,1870,284.37,2.00,2.41,0.45,0.54,0.65,0.78
25,LTZ,LB-Classic,114,798,121.11,1885,286.08,2.00,2.42,0.45,0.54,0.65,0.79
26,LTZ,LB-Classic,114,798,120.87,1900,287.78,2.00,2.42,0.45,0.54,0.65,0.79
27,LTZ,LB-Classic,114,798,120.79,1905,288.35,2.00,2.42,0.45,0.54,0.65,0.79
28,LTZ,LB-Classic,114,798,120.69,1911,289.03,2.00,2.41,0.45,0.54,0.65,0.78
29,LTZ,LB-Classic,114,798,120.63,1915,289.49,2.00,2.41,0.45,0.54,0.65,0.78
30,LTZ,LB-Classic,114,798,120.55,1920,290.05,2.00,2.41,0.45,0.54,0.65,0.78
31,LTZ,LB-Classic,114,798,120.51,1923,290.39,2.00,2.41,0.45,0.54,0.65,0.78
32,LTZ,LB-Classic,115,805,121.53,1925,290.62,2.00,2.43,0.45,0.55,0.65,0.79
33,LTZ,LB-Classic,115,805,121.48,1928,290.96,2.00,2.43,0.45,0.55,0.65,0.79
34,LTZ,LB-Classic,115,805,121.44,1931,291.30,2.00,2.43,0.45,0.55,0.65,0.79
35,LTZ,LB-Classic,115,805,121.41,1933,291.52,2.00,2.43,0.45,0.55,0.65,0.79
8,LTZ,LB-Lite,50,350,68.79,670,131.69,1.00,0.69,0.45,0.31,0.70,0.48
9,LTZ,LB-Lite,54,378,71.87,765,145.46,0.90,0.65,0.37,0.27,0.58,0.42
10,LTZ,LB-Lite,57,399,73.79,855,158.12,0.90,0.66,0.37,0.27,0.58,0.43
11,LTZ,LB-Lite,59,413,74.59,940,169.76,0.90,0.67,0.37,0.28,0.58,0.43
12,LTZ,LB-Lite,63,441,78.03,1020,180.49,0.90,0.70,0.37,0.29,0.58,0.45
13,LTZ,LB-Lite,64,448,77.83,1098,190.74,0.90,0.70,0.37,0.29,0.58,0.45
14,LTZ,LB-Lite,67,469,80.17,1171,200.18,0.90,0.72,0.37,0.30,0.58,0.47
15,LTZ,LB-Lite,69,483,81.46,1236,208.46,0.90,0.73,0.37,0.30,0.58,0.47
16,LTZ,LB-Lite,70,490,81.59,1301,216.62,0.90,0.73,0.37,0.30,0.58,0.47
17,LTZ,LB-Lite,71,497,81.71,1369,225.06,2.00,1.63,0.45,0.37,0.65,0.53
18,LTZ,LB-Lite,74,518,84.05,1443,234.13,2.00,1.68,0.45,0.38,0.65,0.55
19,LTZ,LB-Lite,80,560,89.67,1521,243.55,2.00,1.79,0.45,0.40,0.65,0.58
20,LTZ,LB-Lite,92,700,110.61,1604,253.46,2.00,2.21,0.45,0.50,0.65,0.72
21,LTZ,LB-Lite,100,700,109.45,1673,261.59,2.00,2.19,0.45,0.49,0.65,0.71
22,LTZ,LB-Lite,106,742,114.71,1751,270.69,2.00,2.29,0.45,0.52,0.65,0.75
23,LTZ,LB-Lite,110,770,118.38,1790,275.19,2.00,2.37,0.45,0.53,0.65,0.77
24,LTZ,LB-Lite,113,791,120.95,1829,279.68,2.00,2.42,0.45,0.54,0.65,0.79
25,LTZ,LB-Lite,114,798,121.78,1844,281.40,2.00,2.44,0.45,0.55,0.65,0.79
26,LTZ,LB-Lite,114,798,121.55,1858,283.00,2.00,2.43,0.45,0.55,0.65,0.79
27,LTZ,LB-Lite,114,798,121.46,1863,283.57,2.00,2.43,0.45,0.55,0.65,0.79
28,LTZ,LB-Lite,114,798,121.37,1869,284.25,2.00,2.43,0.45,0.55,0.65,0.79
29,LTZ,LB-Lite,114,798,121.30,1873,284.71,2.00,2.43,0.45,0.55,0.65,0.79
30,LTZ,LB-Lite,114,798,121.22,1878,285.28,2.00,2.42,0.45,0.55,0.65,0.79
31,LTZ,LB-Lite,114,798,121.17,1881,285.62,2.00,2.42,0.45,0.55,0.65,0.79
32,LTZ,LB-Lite,115,805,122.20,1883,285.85,2.00,2.44,0.45,0.55,0.65,0.79
33,LTZ,LB-Lite,115,805,122.15,1886,286.19,2.00,2.44,0.45,0.55,0.65,0.79
34,LTZ,LB-Lite,115,805,122.11,1889,286.53,2.00,2.44,0.45,0.55,0.65,0.79
35,LTZ,LB-Lite,115,805,122.07,1891,286.76,2.00,2.44,0.45,0.55,0.65,0.79
8,LTZ,L-Sandy,47,329,64.96,658,129.92,1.00,0.65,0.45,0.29,0.70,0.45
9,LTZ,L-Sandy,51,357,68.04,758,144.46,0.90,0.61,0.37,0.25,0.58,0.39
10,LTZ,L-Sandy,55,385,71.24,853,157.84,0.90,0.64,0.37,0.26,0.58,0.41
11,LTZ,L-Sandy,59,413,74.69,935,169.09,0.90,0.67,0.37,0.28,0.58,0.43
12,LTZ,L-Sandy,62,434,77.00,1009,179.03,0.90,0.69,0.37,0.28,0.58,0.45
13,LTZ,L-Sandy,65,455,79.52,1072,187.35,0.90,0.72,0.37,0.29,0.58,0.46
14,LTZ,L-Sandy,68,476,82.10,1130,194.90,0.90,0.74,0.37,0.30,0.58,0.48
15,LTZ,L-Sandy,71,497,84.74,1183,201.72,0.90,0.76,0.37,0.31,0.58,0.49
16,LTZ,L-Sandy,74,518,87.47,1230,207.70,0.90,0.79,0.37,0.32,0.58,0.51
17,LTZ,L-Sandy,77,539,90.11,1280,214.00,0.90,0.81,0.37,0.33,0.58,0.52
18,LTZ,L-Sandy,80,560,92.68,1333,220.61,2.00,1.85,0.45,0.42,0.65,0.60
19,LTZ,L-Sandy,84,588,96.23,1394,228.14,2.00,1.92,0.45,0.43,0.65,0.63
20,LTZ,L-Sandy,100,742,119.43,1490,239.82,2.00,2.39,0.45,0.54,0.65,0.78
21,LTZ,L-Sandy,106,742,118.22,1552,247.27,2.00,2.36,0.45,0.53,0.65,0.77
22,LTZ,L-Sandy,110,770,121.52,1612,254.40,2.00,2.43,0.45,0.55,0.65,0.79
23,LTZ,L-Sandy,113,791,123.87,1663,260.42,2.00,2.48,0.45,0.56,0.65,0.81
24,LTZ,L-Sandy,114,798,124.20,1704,265.22,2.00,2.48,0.45,0.56,0.65,0.81
25,LTZ,L-Sandy,114,798,123.59,1738,269.18,2.00,2.47,0.45,0.56,0.65,0.80
26,LTZ,L-Sandy,114,798,123.08,1767,272.54,2.00,2.46,0.45,0.55,0.65,0.80
27,LTZ,L-Sandy,114,798,122.67,1791,275.31,2.00,2.45,0.45,0.55,0.65,0.80
28,LTZ,L-Sandy,114,798,122.34,1810,277.50,2.00,2.45,0.45,0.55,0.65,0.80
29,LTZ,L-Sandy,114,798,122.11,1824,279.11,2.00,2.44,0.45,0.55,0.65,0.79
30,LTZ,L-Sandy,114,798,121.93,1835,280.37,2.00,2.44,0.45,0.55,0.65,0.79
31,LTZ,L-Sandy,115,805,122.89,1841,281.05,2.00,2.46,0.45,0.55,0.65,0.80
32,LTZ,L-Sandy,115,805,122.83,1845,281.51,2.00,2.46,0.45,0.55,0.65,0.80
33,LTZ,L-Sandy,115,805,122.78,1848,281.86,2.00,2.46,0.45,0.55,0.65,0.80
34,LTZ,L-Sandy,115,805,122.73,1851,282.20,2.00,2.45,0.45,0.55,0.65,0.80
35,LTZ,L-Sandy,105,735,112.01,1854,282.54,2.00,2.24,0.45,0.50,0.65,0.73
8,LTZ,L-Silver,52,364,71.02,690,134.63,1.00,0.71,0.45,0.32,0.70,0.50
9,LTZ,L-Silver,56,392,73.94,790,149.01,0.90,0.67,0.37,0.27,0.58,0.43
10,LTZ,L-Silver,60,420,76.90,890,162.95,0.90,0.69,0.37,0.28,0.58,0.45
11,LTZ,L-Silver,66,462,82.57,980,175.15,0.90,0.74,0.37,0.31,0.58,0.48
12,LTZ,L-Silver,69,483,84.35,1075,187.74,0.90,0.76,0.37,0.31,0.58,0.49
13,LTZ,L-Silver,72,504,86.36,1160,198.77,0.90,0.78,0.37,0.32,0.58,0.50
14,LTZ,L-Silver,75,525,88.47,1240,208.96,0.90,0.80,0.37,0.33,0.58,0.51
15,LTZ,L-Silver,78,546,90.84,1305,217.12,0.90,0.82,0.37,0.34,0.58,0.53
16,LTZ,L-Silver,81,567,93.11,1375,225.80,0.90,0.84,0.37,0.34,0.58,0.54
17,LTZ,L-Silver,85,595,96.51,1445,234.37,2.00,1.93,0.45,0.43,0.65,0.63
18,LTZ,L-Silver,89,623,99.78,1520,243.43,2.00,2.00,0.45,0.45,0.65,0.65
19,LTZ,L-Silver,100,700,110.68,1600,252.98,2.00,2.21,0.45,0.50,0.65,0.72
20,LTZ,L-Silver,106,770,120.27,1680,262.41,2.00,2.41,0.45,0.54,0.65,0.78
21,LTZ,L-Silver,110,770,119.05,1750,270.57,2.00,2.38,0.45,0.54,0.65,0.77
22,LTZ,L-Silver,113,791,120.35,1827,283.91,2.00,2.41,0.45,0.54,0.65,0.78
23,LTZ,L-Silver,114,798,120.79,1866,288.35,2.00,2.42,0.45,0.54,0.65,0.79
24,LTZ,L-Silver,114,798,120.55,1905,290.05,2.00,2.41,0.45,0.54,0.65,0.78
25,LTZ,L-Silver,114,798,120.55,1920,290.05,2.00,2.41,0.45,0.54,0.65,0.78
26,LTZ,L-Silver,114,798,120.32,1935,291.75,2.00,2.41,0.45,0.54,0.65,0.78
27,LTZ,L-Silver,114,798,120.24,1940,292.32,2.00,2.40,0.45,0.54,0.65,0.78
28,LTZ,L-Silver,114,798,120.16,1945,292.88,2.00,2.40,0.45,0.54,0.65,0.78
29,LTZ,L-Silver,114,798,120.09,1950,293.44,2.00,2.40,0.45,0.54,0.65,0.78
30,LTZ,L-Silver,115,805,121.06,1955,294.01,2.00,2.42,0.45,0.54,0.65,0.79
31,LTZ,L-Silver,115,805,121.02,1958,294.35,2.00,2.42,0.45,0.54,0.65,0.79
32,LTZ,L-Silver,115,805,120.97,1961,294.69,2.00,2.42,0.45,0.54,0.65,0.79
33,LTZ,L-Silver,115,805,120.92,1964,295.02,2.00,2.42,0.45,0.54,0.65,0.79
34,LTZ,L-Silver,105,735,110.37,1967,295.36,2.00,2.21,0.45,0.50,0.65,0.72
35,LTZ,L-Silver,105,735,110.32,1970,295.70,2.00,2.21,0.45,0.50,0.65,0.72
8,LTZ,LSL-Classic,45,315,63.03,624,124.85,1.00,0.63,0.45,0.28,0.70,0.44
9,LTZ,LSL-Classic,49,343,66.24,719,138.85,0.90,0.60,0.37,0.25,0.58,0.38
10,LTZ,LSL-Classic,53,371,69.56,809,151.69,0.90,0.63,0.37,0.26,0.58,0.40
11,LTZ,LSL-Classic,56,392,71.83,887,162.53,0.90,0.65,0.37,0.27,0.58,0.42
12,LTZ,LSL-Classic,60,420,75.51,957,172.06,0.90,0.68,0.37,0.28,0.58,0.44
13,LTZ,LSL-Classic,64,448,79.33,1017,180.09,0.90,0.71,0.37,0.29,0.58,0.46
14,LTZ,LSL-Classic,67,469,81.96,1072,187.35,0.90,0.74,0.37,0.30,0.58,0.48
15,LTZ,LSL-Classic,70,490,84.66,1122,193.86,0.90,0.76,0.37,0.31,0.58,0.49
16,LTZ,LSL-Classic,73,511,87.43,1167,199.67,0.90,0.79,0.37,0.32,0.58,0.51
17,LTZ,LSL-Classic,76,532,90.13,1214,205.67,0.90,0.81,0.37,0.33,0.58,0.52
18,LTZ,LSL-Classic,79,553,92.74,1264,211.99,2.00,1.85,0.45,0.42,0.65,0.60
19,LTZ,LSL-Classic,84,588,97.51,1322,219.24,2.00,1.95,0.45,0.44,0.65,0.63
20,LTZ,LSL-Classic,100,700,114.72,1386,227.16,2.00,2.29,0.45,0.52,0.65,0.75
21,LTZ,LSL-Classic,106,742,120.24,1450,234.98,2.00,2.40,0.45,0.54,0.65,0.78
22,LTZ,LSL-Classic,110,770,123.73,1500,241.03,2.00,2.47,0.45,0.56,0.65,0.80
23,LTZ,LSL-Classic,113,791,126.27,1540,245.83,2.00,2.53,0.45,0.57,0.65,0.82
24,LTZ,LSL-Classic,114,798,126.57,1580,250.61,2.00,2.53,0.45,0.57,0.65,0.82
25,LTZ,LSL-Classic,114,798,125.98,1610,254.17,2.00,2.52,0.45,0.57,0.65,0.82
